영단어,동의어,단어뜻,예문,예문뜻
expose,"uncover, display",드러내다; 진열하다; 폭로하다,Don't expose your skin to the sun.,햇볕에 피부를 노출시키지 마라.
disclose,expose,"드러내다, 노출시키다; 폭로하다",She refused to disclose her friend's whereabouts to the police.,그녀는 경찰에게 친구의 행적을 털어놓기를 거부했다.
contempt,"scorn, disgrace","경멸, 멸시",Familiarity breeds contempt.,지나치게 허물없이 굴면 멸시받게 된다.
adverse,opposed,"반대의, 거스르는; 불리한",Adverse winds hindered the ship.,역풍이 배의 진로를 방해했다.
contend,"argue, compete","주장하다; 싸우다, 논쟁하다",He contended that unemployment is our most serious social evil.,그는 실업이 우리의 가장 심각한 사회악이라고 주장했다.
obstruct,"block, restrict","막다, 방해하다",The police arrested him for obstructing the highway.,경찰은 그를 공공 도로 방해죄로 체포했다.
ultimate,,"최종의, 궁극의; 결정적인; 최고의",Peace is the ultimate solution to this problem.,평화가 이 문제의 궁극적인 해결책이다.
vain,useless,"헛된, 헛수고의; 자만심 강한",Efforts to rescue the downed pilot were in vain.,격추된 조종사를 구하려는 노력이 헛되이 되었다.
negative,,부정적인; 소극적인; 반대의,Trade disputes have had a negative impact on sales.,무역 분쟁은 매출에 나쁜 영향을 미쳤다.
attribute,,"~의 탓으로 돌리다; 속성, 특성",We attribute his success to intelligence and hard work.,우리는 그의 성공이 지성적이고 근면했기 때문이라고 생각한다.
attribute,,"~의 탓으로 돌리다; 속성, 특성",Mercy is an attribute of God.,자비는 신의 속성이다.
obstacle,"block, barrier","방해(물), 장애(물)",Capital costs remain a huge obstacle to the construction of new nuclear power plants.,자본 비용이 새 원자력 발전소 건립에 큰 장애물로 남아 있다.
exclaim,"shout, cry out","외치다, 고함치다",He exclaimed that I should not touch that gun.,그는 그 총을 만지지 말라고 내게 큰 소리로 말했다.
afraid,"frightened, fearful","무서워하여, 두려워하여; 걱정하여",I couldn’t sleep last night because I was so afraid.,간밤에 너무 무서워서 잠을 잘 수 없었다.
interrupt,"disturb, cease, stop","가로막다, 방해하다; 중단하다",We interrupt this program for a special announcement.,특별 발표로 이 프로그램을 중단합니다.
desperate,,절망적인; 필사적인,I´m making a desperate effort to watch my weight.,체중 조절을 하느라고 필사적으로 노력하고 있다.
virtue,,"미덕 (美德), 선행; 장점",Patience is one of the virtues that everyone should have.,참을성은 모든 사람이 갖추어야 할 미덕 중 하나다.
undoubtedly,"certainly, definitely","의심할 여지없이, 틀림없이",Tax increases will undoubtedly trim public spending.,세금 증가는 틀림없이 사람들의 지출을 줄이게 될 것이다.
disturb,interrupt,방해하다; 어지럽히다,He was disturbed to hear of his father´s illness.,그는 아버지의 병환 소식을 듣고 마음이 뒤숭숭하였다.
steady,"firm, stable","확고한, 안정된, 꾸준한, 착실한",The graph shows a steady upward curve.,그래프는 완만한 상승 커브를 보여 준다.
scorn,despise,"멸시하다, 경멸하다",We scorn cowards and liars.,우리는 비겁자와 거짓말쟁이를 경멸한다.
provoke,"anger, annoy",화나게 하다: 불러일으키다,It is very provoking of her to be so late.,그녀가 그렇게 늦는 것은 아주 짜증나는 일이다.
malice,,"악의, 원한",She certainly bears you no malice.,그녀가 분명 너에게 악의를 품고 있는 것은 아니다.
cordial,"hearty, sincere",진심에서 우러난,Relations between the two leaders have always been described as friendly and cordial.,두 지도자 사이의 관계는 항상 가깝고 우호적인 것으로 알려져 왔다.
accomplish,"achieve, perform","이루다, 성취하다 ; (목적 등을) 달성하 다",I will accomplish my purpose at all costs.,무슨 일이 있어도 목적을 달성할 작정입니다.
achieve,"accomplish, perform, execute","성취하다 , 완수하다",He did everything within his power to achieve the goal.,그는 목표를 달성하기 위해 자기가 할 수 있는 모든 일을 다 했다.
surrender,"give in, yield","포기하다 ; 항복하다 ; 넘겨주다, 양도하다",We advised the hijackers to surrender themselves to the police.,우리는 납치범들에게 경찰에 투항하도록 권고했다.
agree,,"동의하다 , 의견이 맞다, 동감이다",She agreed to pay for the repairs.,그녀는 수리비를 지불하기로 동의했다.
improve,"reform, enhance","향상시키다 ; 개량하다, 개선하다","By writing e-mail letters, I can make a new friend and improve my English.","이메일을 씀으로서, 나는 새 친구도 사귀고 영어도 향상시킬 수 있다."
attain,"obtain, achieve, accomplish","달성하다 , ~에 달하다; ~에 이르 다, 도달하다",What must you attain to have peace of mind?,마음의 평화를 얻으려면 뭐가 필요하지?
postpone,"put off, delay","연기하다, 미루다",The meeting has been postponed to next Sunday.,그 모임은 다음 일요일까지 연기되었다.
implement,"tool, device","도구 ; (pl.) 비품; 수단, 방법; 이행하다, 충족 하다, 채우다",Man's earliest implements were carved from stone and bone.,인간의 최초의 도구는 돌과 뼈를 깎아 만들었다.
complete,"perfect, whole, entitle","완전한, 완벽한; 완성하다 ; 완결하다; (목적을) 달성하다","If you ask me, reading comics is a complete waste of time.",내가 생각하는 바로는 만화를 보는 것은 전적으로 시간 낭비이다.
hesitate,,"주저하다, 망설이다 , 결단을 못 내리다","For further assistance, please do not hesitate to write me directly.",더 이상의 도움이 필요하시면 주저마시고 제 앞으로 직접 편지를 보내주시 기 바랍니다.
compromise,,"타협하다, 화해하다; 타협, 화해, 양보",The mayor will compromise to a certain extent.,그 시장은 어느 정도는 타협할 것이다.
torment,,"괴롭히다, 고문하다, 고통을 주다 n. 고통",It was wicked of you to torment the poor cat.,네가 불쌍한 고양이를 괴롭힌 건 나빴다.
assent,,"동의하다, 찬성하다; 동의, 찬성, 인정, 승인",I assent to his opinion.,나는 그 사람과 같은 의견이다.
dissent,disagree,"의견을 달리하다 , 이의를 말하다; 불찬 성, 이의",Only he held a dissenting opinion.,그 사람만 반대하는 의견을 가지고 있었어요.
submit,"yield, surrender, give in","복종하다 ; 굴복하다, 항복하다; 제 출하다",Should a wife submit herself to her husband?,아내는 남편에게 순종해야만 하는가?
submit,"yield, surrender, give in","복종하다 ; 굴복하다, 항복하다; 제 출하다",I couldn't submit my homework.,나는 숙제를 제출할 수가 없었다.
endeavor,effort,"노력, 수고; 노력하다 , 애쓰다, 시도하다",Fortune waits an honesty toil and endeavor.,정직한 수고와 노력에는 행운이 뒤따른다.
attempt,"try, undertake","시도하다 , 꾀하다; 시도, 기도",The prominent poet attempted to commit suicide in his study.,그 유명한 시인은 자신의 서재에서 자살을 기도했다.
insist,"assert, maintain","주장하다 , 고집하다",I insisted on my innocence.,나는 나의 결백을 주장했다.
apply,,"적용하다, 응용하다 ; (약 따위를) 바르다; 신청하다, 지원하다","As soon as I graduated the school, I plan to apply for a job.",학교를 졸업하자마자 취업에 지원할 계획이다.
maintain,,"지속하다 , 유지하다; 주장하다; 옹호하다",I wanted to maintain my friendship with her.,그녀와의 우정을 계속 유지하고 싶었다.
maintain,,"지속하다 , 유지하다; 주장하다; 옹호하다",He maintains that war is inevitable.,그는 전쟁이 불가피하다고 주장한다.
passive,active,수동적인; 소극적인,He took a passive attitude toward other's job.,그는 다른 사람의 일에는 수동적인 태도를 취했다.
effort,"endeavor, exertion","노력, 수고",We must concentrate our efforts on improving education.,교육을 향상시키는 데 우리의 노력을 집중해야 한다.
refuse,"reject, turn down","거절하다, 거부하다",She didn't have the courage to refuse.,그녀는 거절할 용기가 없었다.
deplete,"run out of, use up",고갈[소모]시키다,The election has severely depleted the party's fund.,선거로 그 당의 자금이 극심하게 고갈되었다.
fulfill,"perform, achieve, execute, carry out","이행하다, 완수하다 ; (일 을) 완료하다, 성취하다",Fulfilling responsibility is fundamental to democracy.,의무의 이행은 민주주의의 기본이다.
respond,"answer, reply, react","응답하다, 대답하다 ; 반응하다","I sent him an invitation card, but he didn't respond.","나는 그에게 초대장 보냈는데, 응답이 없었다."
active,,활동적인 ; 활기 있는; 적극적인 ; 능동적인,These active people work all the time at moderate speeds.,이 활동적인 사람들은 적당한 속도로 항상 일을 한다.
execute,"perform, fulfill, carry out","실행하다 , 실시하다; 수행[달성, 완수]하다","The plan was good, but it was badly executed.",그 계획은 좋았는데 실행이 제대로 되지 않았다.
execute,"perform, fulfill, carry out","실행하다 , 실시하다; 수행[달성, 완수]하다",He was executed for murder.,그는 살인죄로 처형당했다.
yield,"give in, surrender","양보하다 , 굴복하다 ; 포기하다; 산출하다",Children have been taught to yield their seats to the elderly.,나이 드신 분들께 자리를 양보하라고 아이들에게 가르치죠.
yield,"give in, surrender","양보하다 , 굴복하다 ; 포기하다; 산출하다",We will never yield to force.,폭력에는 굴복하지 않겠다.
yield,"give in, surrender","양보하다 , 굴복하다 ; 포기하다; 산출하다",Stock investments do not always yield profit.,주식 투자가 항상 이익을 낳는 것은 아니다.
permit,"allow, grant","허락하다 , 허가하다",Pets are not permitted in the museums or the National Zoo.,애완동물들은 박물관이나 국립 동물원 출입이 허락되지 않습니다.
settle,"live in, resolve",정착하다; 해결하다 ; 결정하다; 진정시키다,It is difficult to settle the matter to the satisfaction of all.,모든 사람의 마음에 들도록 사건을 해결하기는 어렵다.
affect,"influence, have an effect on",영향을 미치다; 감동시키다; ~인 체하다,Clouds can greatly affect the temperature of the earth's surface.,구름은 지표면의 온도에 큰 영향을 줄 수 있다.
affect,"influence, have an effect on",영향을 미치다; 감동시키다; ~인 체하다,The performance affected me deeply.,그 연기는 내게 깊은 감동을 주었다.
voluntary,intentional,"자발적인; 지원의; 임의의, 의도적인",She does voluntary work for the Red Cross two days a week.,그녀는 적십자에서 일주일에 이틀씩 자원 봉사를 한다.
preserve,,"보존하다, 유지하다 , 보전하다",The ancient Egyptians knew ways to preserve dead bodies from decay.,고대 이집트인들은 시체를 썩지 않도록 보존하는 방법들을 알고 있었다.
aid,"support, assist","돕다, 거들다, 원조하다; 도움",The Red Cross aided war victims.,적십자사는 전쟁 이재민을 구호했다.
reduce,"diminish, decrease",줄이다; 축소하다,Exercise is necessary to reduce the risk of disease.,질병의 위험을 줄이기 위해서 운동은 필요한 것이다.
admit,"allow, accept","허용하다, 인정하다 ; 승인[시인]하다",He is someone who never admits his shortcomings.,그는 자신의 결점을 결코 인정하지 않는 사람이다.
prevent,stop,"막다, 방해하다, ~하지 못하게 하다",Bad weather prevented us from starting.,날씨가 나빠서 우리는 출발하지 못했다.
conduct,behavior,"행위, 행동; 지도, 안내; 행동하다 ; 지휘하다; 이끌 다",Such conduct does not pertain to a young lady.,그런 행동은 젊은 숙녀에게 어울리지 않는다.
concentrate,focus (on),집중하다; 전념하다,I just haven't been able to concentrate very well on my school work.,나는 학교 공부에 제대로 집중할 수가 없었어요.
purpose,"aim, goal",목적 ; 성과; 취지,The purpose of the court system is to protect the rights of the people.,사법 제도의 목적은 국민의 권리를 보호하는 것이다.
avoid,"escape, evade","피하다, 회피하다 ; 취소하다",You should avoid ambiguity in your writing.,글을 쓸 때에는 애매한 것을 피해야 한다.
encounter,,"만나다, 마주치다; 부딪치다, 충돌하다",I encountered an old friend on the street.,나는 길에서 옛 친구를 우연히 만났다.
anticipate,"look forward to, expect","예언하다, 예견하다; 기대하다",We anticipated a good time at the party.,우리는 파티에서 재미있는 시간을 가질 것으로 예상했다.
compel,"force, oblige","강요하다, ~하도록 시키다",They compelled obedience from us.,그들은 우리에게 복종을 강요했다.
cope,"struggle, manage","대항하다, 맞서다 ; 대처하다, 극복하다",Korea has been lauded as a successful model in coping with the financial crisis.,한국은 경제 위기를 훌륭하게 대처한 것으로 칭찬을 받고 있다.
enhance,"strengthen, reinforce","높이다, 강화하다, 드높이다",The company says it uses the information it has to enhance the shopping experience of its customers.,회사는 정보를 고객의 쇼핑 경험을 극대화하기 위해서 사용할 것이라고 말 한다.
dismiss,"discharge, disperse, scatter",해고하다 ; 해산시키다,The employer dismissed three employees.,그 고용주는 세 명의 종업원을 해고했다.
evade,"avoid, escape","교묘히 피하다 , 비키다, 면하다, 벗어나다",He evaded capture for three days.,그는 3일간 체포를 피해 다녔다.
portable,"compact, convenient","들고 다닐 수 있는 , 운반할 수 있는; 휴대용의","Well, an MP3 player can be used as a portable storage device.",MP3 플레이어는 휴대용 저장 장치로 사용할 수 있잖아.
oblige,"compel, force",강요하다; 의무를 지우다 ; 은혜,The law obliges parents to send their children to school.,아이들을 학교에 보내는 것은 부모의 의무라고 법률에 규정되어 있다.
interfere,intervene,"방해하다, 간섭하다 , 참견하다",You should not interfere in other´s private concerns.,남의 사생활에 간섭하지 마시오.
surpass,"exceed, outdo","~보다 낫다, 능가하다 , 뛰어나다; 초월하다",She surpasses me at everything.,그녀는 모든 면에서 저보다 한 수 위예요.
addict,,중독 시키다; 중독자,He addicted himself to gambling.,그는 도박에 빠졌었다.
comply,"follow, obey","(요구에) 응하다, 따르다",I am not in a position to comply with your request.,저는 당신의 요구에 응해 드릴 처지가 못 됩니다.
distort,twist,비틀다; 왜곡하다,You must not distort the facts in order to make your report more exciting.,흥미 있는 기사를 쓰기 위해 사실을 왜곡해서는 안 된다.
betray,,배반하다; 누설하다,He doesn’t betray his girlfriend and his country.,그는 여자 친구나 조국을 배반하지 않는다.
thorough,"complete, perfect","철저한, 완전한, 빈틈없는",The doctor did a thorough physical examination on the patient.,의사는 그 환자에게 정밀 검진을 했다.
constrain,"force, oblige, compel",강요하다 ; (수동태로) 억제하다,My conscience constrained me to apologize to him.,양심의 가책에 견딜 수 없어서 그에게 사과했다.
reveal,disclose,"폭로하다, 드러내다, 밝히다",The scandal was revealed in the middle of the election campaign.,그 스캔들은 선거 유세 중간에 드러났다.
absent,,"결석한, 부재의 , 없는",Please examine how many times he was absent this term.,그의 이번 학기 결석 횟수를 조사해 주시오.
present,,"출석한, 참석한 ; 존재하는, 현재의","The members of the finance committee will be present at the meeting, which begins at 11 o'clock.",재정 위원회 위원들이 11시에 시작하는 회의에 참석할 예정이다.
scientific,,(자연) 과학의; 과학적인,The use of animals in scientific experiments continues to be a controversial issue.,과학 실험에 동물을 사용하는 문제는 지금도 논란이 되고 있는 문제다.
chemistry,,화학,I got a perfect score in chemistry.,나는 화학에서 100점을 받았다.
degree,,학위; 정도; 등급; 지위; (온도·각도 등의) 도(度),"He graduated from the University of Florida, with a degree in history.",그는 역사학 학위를 받고 플로리다 대학을 졸업했다.
degree,,학위; 정도; 등급; 지위; (온도·각도 등의) 도(度),The temperature is three degrees above normal.,체온이 정상보다 3도나 높았다.
depart,,"출발하다, 떠나다 ; 벗어나다","Due to the weather, there is very little chance that the flight will depart on time.",기상으로 인해 비행기가 정시에 출발할 가능성은 거의 없다.
experiment,,"실험하다, 시험[시도]하다; 실험; 시험, 시도",Objectivity is an essential in scientific experiments.,과학 실험에서 객관성은 필수 요소다.
graduate,,졸업하다 ; 자격을 따다; 학위를 주다,My daughter is graduating and looking for her first car.,내 딸이 졸업을 하는 데 처음으로 차를 사려고 한다.
instruct,"teach, train, educate","가르치다, 교육하다 ; 명령하다",He instructs the class in biology.,그는 그 반 학생들에게 생물학을 가르친다.
principal,,"교장; 사장 , 회장; 장(長); 주요한; 제1의; 중요한",What's the new principal like?,새 교장 선생님은 어떤 분인가?
principal,,"교장; 사장 , 회장; 장(長); 주요한; 제1의; 중요한",What's your principal objective?,너의 주된 목적은 무엇이냐?
inquire,"question, ask","묻다, 질문하다 ; 조사하다",I inquired the way to the station.,나는 역으로 가는 길을 물었다.
enlighten,instruct,계몽하다; 가르치다,Would you kindly enlighten me on this question?,이 문제에 관하여 고견을 듣고자 합니다.
entrance,,입학; 입구; 등장,Entrance to the school has become harder owing to the increasing number of candidates.,지원자의 증가로 그 학교의 입학은 더욱 어려워진다.
imitate,"simulate, mimic","모방하다, 흉내 내다; 위조하다",Speak naturally; don't try to imitate some actors.,배우 흉내를 내려 하지 말고 자연스럽게 말해라.
lecture,,"강의, 강연; 강의를 하다",The professor's lecture was full of wit and humor.,그 교수의 강의는 기지와 유머가 넘쳤다.
faculty,talent,"재능, 기능; (집합적) 교직원; (대학의) 학부, 분과(分 科)",She seems to have a faculty to making friends.,그녀에게는 사람을 사귀는 능력이 있는 듯 보인다.
faculty,talent,"재능, 기능; (집합적) 교직원; (대학의) 학부, 분과(分 科)","All students and faculty, please exit the facility immediately.",모든 학생과 교직원 여러분 즉시 건물 밖으로 나가주시기 바랍니다.
enroll,"register, record","등록하다, 명부에 기재하다 ; 입회[입학]시키 다; 입회하다",Have you enrolled for the course yet?,아직도 강좌에 등록하지 않았나요?
grade,,"학년; 등급, 계급; 성적, 평점",I've been thinking that every grade should have a different lunch time.,나는 모든 학년이 점심시간이 달라져야 한다고 생각해왔다.
grade,,"학년; 등급, 계급; 성적, 평점",He has attained the highest grade in his math exams.,그는 수학 시험에서 가장 높은 성적을 받았다.
investigate,"examine, inspect","조사하다, 연구하다",The committee has decided to investigate more creative ways to save money.,위원회는 돈을 절약하기 위한 보다 획기적인 방안들을 연구하기로 했다.
laboratory,lab,실험실; 연구소,The laboratory analyzed the rock samples.,그 실험실에서 바위 표본들을 분석했다.
major,specialize,"전공하다; 전공의, 주요한, 중요한; 대부분의; 전공 과목",I want to major in medical science at the university.,나는 대학에서 의학을 전공하고 싶다.
major,specialize,"전공하다; 전공의, 주요한, 중요한; 대부분의; 전공 과목",What is the major farm product in Brazil?,브라질의 주요 농산물은 무엇입니까?
scholarship,,"학문, 학식; 장학금 (제도); 장학생의 자격",He is a man of great scholarship.,그는 대학자이다.
scholarship,,"학문, 학식; 장학금 (제도); 장학생의 자격","If I get A+, I will be able to receive a scholarship.","내가 A+학점을 받으면, 장학금을 받게 될 것이다."
discipline,"training, practice","훈련, 수양; 기강, 징계; 훈련시키다",He had to be disciplined severely.,그는 혹독하게 훈련을 받아야만 했다.
semester,,"(1년 2학기제의) 한 학기, 반 학년",How many courses are you taking this semester?,이번 학기에는 몇 과목이나 수강 신청을 했습니까?
biology,,생물학,"The science program in our school encompasses biology, chemistry, physics, earth science, and a special course on the environment.","우리 학교의 과학 프로그램은 생물, 화학, 물리, 지구과학 그리고 환경에 관 한 특수 과목을 포함한다."
arithmetic,,"산수, 산술; 계산, 셈",He got a fair grade in arithmetic.,그는 수학에서 꽤 좋은 점수를 받았어요.
textbook,,교과서; 교본,Our common sense tells us positively that the state textbooks are free from errors.,국정 교과서에 오류가 있을 수 없다는 것은 상식적인 문제다.
institute,,"세우다, 설립하다; 회(會), 협회, 학원",They plan to establish an art institute.,그들은 미술 협회를 설립할 계획이다.
tuition,,수업료; 수업,The tuition for medical schools continues to increase faster than that for other educational institutions.,의과 대학의 수업료는 다른 교육 기관보다 계속해서 더 빠른 속도로 인상 되고 있다.
multiple,,복합적인; 배수,These children have multiple handicaps.,이 아이들은 복합적인 여러 장애를 갖고 있다.
educate,"teach, discipline, tutor","교육하다 , 훈육하다; 육성하다",My mom says it costs a lot to educate privately.,엄마가 사교육비가 너무 많이 든다고 하신다.
class,,학급; 수업; (공통 성질의) 종류 ; 등급; (보통 pl.) (사회) 계급,"After regular classes, I took a supplementary lesson.",정규 수업이 끝나고 보충 수업을 받았다.
class,,학급; 수업; (공통 성질의) 종류 ; 등급; (보통 pl.) (사회) 계급,"At first, only men and women of the upper classes wore it.",처음에는 상류층의 남성과 여성만이 그것을 착용했다.
class,,학급; 수업; (공통 성질의) 종류 ; 등급; (보통 pl.) (사회) 계급,Business class was full.,비즈니스 석은 다 찼다.
physical,,육체의; 자연의; 물질의; 물리학(상)의,"The test subjects were ethics, physical education, Korean, physics and geography.","시험 과목은 윤리, 체육, 물리, 지리이다."
physics,,물리학,Both physics and chemistry are taught in the laboratories in this building.,물리학과 화학은 둘 다 이 건물의 실험실들에서 강의되고 있다.
dormitory,,"기숙사 ; 큰 공동 침실; 【영국】 교외 주택지, 단지","The government plans to allow the National Pension Corp.to invest in social infrastructure, such as school dormitories, child-care facilities and geriatric institutions.","정부는 국민 연금의 학교 기숙사, 보육 시설, 노인 요양 시설 등 사회 시설 에의 투자를 허용할 계획이다."
scheme,,"계획, 설계; 음모; 계획하다; 모의하다",They formed a scheme of building a new bridge.,그들은 새 교량 건설 계획을 세웠다.
participate,"take part in, join in","참여하다, 참가하다","They may go to school, participate in sports, drive cars, and sometimes become involved in conflicts.","그들은 학교에 가고, 스포츠에 참가하고, 차를 운전하며, 때로는 분쟁에 말려들기도 한다."
pursue,,추구하다 ; 추격하다; 종사하다,They are all absorbed in pursuing worldly fame and gain.,그들은 모두 이욕과 명성을 얻기에 골몰하고 있다.
attend,be present,"출석하다, 다니다; 보살피다; 주목하다",People from all over the world will attend the meeting.,전 세계의 사람들이 그 회의에 참석할 것이다.
articulate,,"(발음 등이) 또렷한, (생각 등이) 명확한; 또렷하게 발음하다, 분명하게 표현하다","At the age of 80, he was still sharp-witted and articulate.",80세의 나이에도 그는 여전히 기지가 예리하며 발음이 또렷했다.
require,need,필요로 하다; 요구하다,It requires further checkup.,그것은 더 검토할 필요가 있다.
require,need,필요로 하다; 요구하다,You must learn either English or French as a required subject.,너는 영어나 프랑스 어나 어느 쪽인가를 필수 과목으로 배워야 한다.
inform,"tell, notify",알리다; 통지하다,I'm calling to inform you that our schedule has been changed.,저희 스케줄이 변경되었다는 걸 알려드리려고 전화했습니다.
nursery,,탁아소; 보육 학교,My wife is nursery school teacher.,내 아내는 유치원 보모이다.
preschool,,"취학 전의; 유아원 , 보육원",My mom is a teacher at the preschool.,나의 어머니는 유아원 교사이시다.
secondary,,제2의; 중고등의,The opportunity to study beyond secondary school is available to nearly all qualified students.,중등학교 이상의 공부를 할 기회는 거의 자격 있는 모든 학생들에게 주어 진다.
geography,,지리학,"We learn science, history, and geography at school.","우리는 학교에서 과학, 역사 그리고 지리(학)를 배운다."
rod,,"막대기; 장대; 지팡이; 매, 회초리",Spare the rod and spoil the child.,매를 아끼면 아이를 버린다.
content,,"내용물; 목차, 목록; 취지; 내용",Could you explain its contents?,내용물을 설명해 주시겠어요?
content,,"내용물; 목차, 목록; 취지; 내용",She is content to stay here all the year.,그녀는 1년 내내 여기에 머무르는 데에 만족한다.
assign,"give out, allocate, allot",할당하다; 임명하다 ; 지정하다,"A boy was assigned a paper on childbirth and asked his parents, “How was I born?""",출산에 관한 숙제를 받아 온 한 소년이 부모님에게 “제가 어떻게 태어난 거죠?” 라고 물었다.
cafeteria,,간이식당; 구내식당,The students are eating in the cafeteria.,학생들이 구내식당에서 식사를 하고 있다.
cheat,"deceive, trick",속이다 ; 부정행위를 하다; 규칙을 어기다,You will catch it hot from the teacher if you cheat on an exam.,시험에서 부정행위를 하면 너는 혼날 거야.
share,,"함께 나누다, 공유하다 ; 할당하다; 몫",A selfish child doesn't like to share toys with anyone.,이기적인 아이는 다른 아이와 장난감을 같이 가지고 노는 것을 좋아하지 않는다.
eager,anxious,열망하는; 열성적인,He is eager to learn how to drive a car.,그는 자동차 운전을 몹시 배우고 싶어 한다.
thesis,,제목; 학위 논문; 명제,She is writing a thesis on Korean legend and mythology.,그녀는 한국의 전설과 신화에 관한 논문을 쓰고 있다.
endow,"provide, supply","(재산을) 기부하다 , 증여하다; (수동태로) 부 여하다",He spent all his fortune on endowing a hospital.,그는 전 재산을 병원에 기부했다.
endow,"provide, supply","(재산을) 기부하다 , 증여하다; (수동태로) 부 여하다",We are all endowed with a conscience.,우리 모두에게는 양심이 부여되어 있다.
auditorium,,강당; 방청석,All performances are held in the College of Music Auditorium.,모든 공연은 음대 강당에서 열린다.
cite,"quote, refer to",인용하다 ; 열거하다,The devil can cite Holy Scripture for his purpose.,악마도 자신의 목적을 위하여 성경을 인용할 수 있다.
sophomore,,(대학 또는 고교의) 2학년생,He will be a sophomore in September.,그는 9월에는 대학 2학년이 된다.
illiterate,,"글자를 모르는, 무식한; 교양이 없는",He is computer-illiterate.,그는 컴맹이다.
passage,,"한 구절; 통행, 통과","According to the passage, what is true about television sets?","위 지문에 의하면, 다음 중 텔레비전에 대해 옳게 말한 것은?"
individual,,"개인, 개체; 개개의, 개인적인",Every individual has the right to liberty and happiness.,각자 개인은 자유롭고 행복하게 살 권리가 있다.
behave,act,행동하다 ; 처신하다,Nobody likes the way you behave.,당신의 행동 방식은 아무도 좋아하지 않는다.
environment,surroundings,환경; 자연 환경,The homework is to research about the environment pollution.,숙제는 환경오염에 대해 조사하는 것이다.
circumstance,"situation, environment","(보통 pl.) 상황, 환경; 사정",We are opposed to abortion under any circumstances.,우리는 어떤 상황 하에서도 낙태를 반대한다.
positive,affirmative,"긍정적인, 적극적인 , 확실한; 양(성) 의",The organization plays a positive role in wildlife conservation.,그 단체는 야생 동물 보호에 적극적인 역할을 다하고 있다.
ideal,,이상; 이상적인,The ideal and the real never coincide.,이상과 실제는 결코 일치하지 않는다.
absolute,,절대의; 비할 바 없는,Totalitarianism is a form of government in which the state has absolute power.,전체주의는 국가가 절대권을 갖는 정부 형태이다.
organization,,"조직(화), 구성; 기구, 체제",The organization of the human body is very complicated.,인체의 구조는 매우 복잡하다.
complex,complicated,"복잡한; (문제가) 어려운; 콤플렉스, 복합; 강박 관념; 종합 빌딩",This protein's structure is particularly complex.,이 단백질 구조는 특히 복잡하다.
defect,"weakness, weak point, disadvantage, demerit","결점; 단점, 약점; 흠",Every man has the defects of his qualities.,사람마다 장점과 그에 따르는 결점이 있는 법이다.
associate,"connect, combine","연상하다 , 교제하다; 연합시키다",People often associate a certain color with different things and different ideas.,사람들은 종종 어떤 색깔을 다양한 물건이나 생각과 연결 지어 생각한다.
complicate,,"복잡하게 하다, 까다롭게 하다",Foreign people often say that the Korean sales and distribution system is too complicated and there is no room left for foreign business.,외국인들은 한국의 판매와 유통 체제가 너무 복잡해서 외국 기업이 들어올 여지가 없다고 말한다.
moral,,"도덕(상)의, 윤리(상)의","Man is possessed of physical, social, religious, intellectual and moral capabilities.","인간은 신체적, 사회적, 종교적, 지적, 도덕적 능력을 가지고 있다."
capital,,자본; 수도; 대문자; 주요한; 자본의; 대문자의,He wrote an article about the accumulation of capital.,그는 자본의 축적에 관한 기사를 썼다.
mortal,,죽을 수밖에 없는 운명의,Man is mortal.,인간은 누구나 죽는다.
privilege,,특권 ; 특전; 대권,The notorious dictator abused his privileges to his heart's content.,그 악명 높은 독재자는 마음껏 특권을 남용했다.
philosophy,,철학(哲學),He was the founder of modern philosophy.,그는 근대 철학의 창시자이다.
insane,mad,"제정신이 아닌, 광기의, 미친",He went insane from the tragedy.,그는 그 비극적인 사건 때문에 정신이 이상해졌다.
fascinate,charm,"매혹시키다, 황홀하게 하다",He was fascinated by her beauty.,그는 그녀의 미모에 매료되었다.
anthropology,,인류학 ; 인간학,Anthropology can make major contributions to international harmony because it helps provide an understanding of various cultures.,인류학은 여러 가지 문화에 대한 이해를 돕기 때문에 국제 우의에 커다란 공헌을 할 수 있다.
alternative,,양자택일; 다른 방도; 대안,We have the alternative of leaving or staying.,떠나느냐 머무느냐 둘 중 하나다.
alternative,,양자택일; 다른 방도; 대안,Do you have any alternative proposal?,무슨 대안이라도 있습니까?
criterion,standard,"(비판·판단의) 표준, 기준; 특징",Wealth is no criterion of one's happiness.,재물은 행복의 척도가 될 수 없다.
liberty,,"자유, 자립","Give me liberty, or give me death.",자유를 달라 그렇지 않으면 죽음을 달라.
ethics,,"(보통 단수 취급) 윤리학, 도덕론 ; (보통 복수 취급) 도의, 도덕, 윤리(관)",Their ethics are the minimum required for political survival.,그들의 윤리는 정치적 생존을 위해 요구되는 최소한의 것이다.
motivation,,자극; 유도 ; 동기 부여,Supervisors are always concerned about worker motivation and how to improve it.,상사들은 직원의 동기 유발 및 증진 방안에 항상 신경을 쓴다.
tense,,긴장한; 팽팽한,Many people often forget things when they are tense.,많은 사람들은 긴장하면 뭔가를 잊어버리곤 한다.
norm,"standard, criterion",기준; 규범(規範); 모범,"I know my behavior is beyond the norm, but I don't want to fail again.","저의 행위가 규정에 벗어나는 거라는 건 알지만, 또 낙제하고 싶지가 않아 요."
optimism,,낙천주의,He impressed the work with his optimism.,그 작품에는 그의 낙천적인 특징이 나타나 있었다.
